Bait	Prey	#Rep	#Pep	#Frag	AvgP	BFDR
MEPCE	gi|112293277|gn|DNAJC8:22826| dnaJ homolog subfamily C member 8 [Homo sapiens]	3	2	5|5	0.0050	0.6326
EIF4A2	gi|112293285|gn|SPIN1:10927| spindlin-1 [Homo sapiens]	3	5	5|10|5|5|5	0.3662	0.3069
MEPCE	gi|112293285|gn|SPIN1:10927| spindlin-1 [Homo sapiens]	3	5	5|10|5|5|5	0.5149	0.1849
EIF4A2	gi|11321591|gn|HMGB2:3148| high mobility group protein B2 [Homo sapiens]	3	5	5|5|5|5|5	0.3734	0.2975
MEPCE	gi|11321591|gn|HMGB2:3148| high mobility group protein B2 [Homo sapiens]	3	5	5|5|5|5|5	0.0628	0.5819
EIF4A2	gi|11321601|gn|PFKP:5214| 6-phosphofructokinase type C isoform 1 [Homo sapiens]	3	1	5	0.0110	0.6235
MEPCE	gi|11321601|gn|PFKP:5214| 6-phosphofructokinase type C isoform 1 [Homo sapiens]	3	1	5	0.0103	0.6248
EIF4A2	gi|11321634|gn|CD2AP:23607| CD2-associated protein [Homo sapiens]	3	1	5	0.1732	0.4890
MEPCE	gi|11321634|gn|CD2AP:23607| CD2-associated protein [Homo sapiens]	3	1	5	0.0598	0.5848
EIF4A2	gi|11415026|gn|RPL18A:6142| 60S ribosomal protein L18a [Homo sapiens]	3	1	5	0.1423	0.5180
MEPCE	gi|11415026|gn|RPL18A:6142| 60S ribosomal protein L18a [Homo sapiens]	3	1	5	0.7679	0.0626
EIF4A2	gi|114155144|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 4 [Homo sapiens]	3	1	5	0.1143	0.5430
MEPCE	gi|114155144|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 4 [Homo sapiens]	3	1	5	0.2214	0.4476
EIF4A2	gi|114155146|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 3 [Homo sapiens]	3	5	5|5|5|5|5	0.0562	0.5874
MEPCE	gi|114155146|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 3 [Homo sapiens]	3	5	5|5|5|5|5	0.1517	0.5096
EIF4A2	gi|11464969|gn|PNMA2:10687| paraneoplastic antigen Ma2 [Homo sapiens]	3	1	5	0.2924	0.3764
MEPCE	gi|11464969|gn|PNMA2:10687| paraneoplastic antigen Ma2 [Homo sapiens]	3	1	5	0.4118	0.2626
EIF4A2	gi|114688046|gn|TBC1D4:9882| TBC1 domain family member 4 [Homo sapiens]	3	2	5|5	0.3411	0.3296
MEPCE	gi|114688046|gn|TBC1D4:9882| TBC1 domain family member 4 [Homo sapiens]	3	2	5|5	0.4039	0.2707
EIF4A2	gi|115298668|gn|SNRNP40:9410| U5 small nuclear ribonucleoprotein 40 kDa protein [Homo sapiens]	3	3	5|5|5	0.1617	0.5013
MEPCE	gi|115298668|gn|SNRNP40:9410| U5 small nuclear ribonucleoprotein 40 kDa protein [Homo sapiens]	3	3	5|5|5	0.5979	0.1393
EIF4A2	gi|115298682|gn|PRRC2C:23215| protein PRRC2C [Homo sapiens]	3	18	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.9994	0.0001
MEPCE	gi|115298682|gn|PRRC2C:23215| protein PRRC2C [Homo sapiens]	3	18	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.5569	0.1615
EIF4A2	gi|115387104|gn|ALDH9A1:223| 4-trimethylaminobutyraldehyde dehydrogenase [Homo sapiens]	3	5	5|5|5|5|5	0.2147	0.4537
MEPCE	gi|115387104|gn|ALDH9A1:223| 4-trimethylaminobutyraldehyde dehydrogenase [Homo sapiens]	3	5	5|5|5|5|5	0.1682	0.4949
EIF4A2	gi|11545863|gn|MCCC2:64087| methylcrotonoyl-CoA carboxylase beta chain, mitochondrial [Homo sapiens]	3	1	4	0.8006	0.0496
MEPCE	gi|11545863|gn|MCCC2:64087| methylcrotonoyl-CoA carboxylase beta chain, mitochondrial [Homo sapiens]	3	1	4	0.3108	0.3593
EIF4A2	gi|11559927|gn|MRPS14:63931| 28S ribosomal protein S14, mitochondrial [Homo sapiens]	3	1	5	0.0023	0.6377
MEPCE	gi|11559927|gn|MRPS14:63931| 28S ribosomal protein S14, mitochondrial [Homo sapiens]	3	1	5	0.1519	0.5092
EIF4A2	gi|11559929|gn|COPG1:22820| coatomer subunit gamma-1 [Homo sapiens]	3	1	5	0.1846	0.4788
MEPCE	gi|11559929|gn|COPG1:22820| coatomer subunit gamma-1 [Homo sapiens]	3	1	5	0.1694	0.4938
EIF4A2	gi|116734857|gn|AGL:178| glycogen debranching enzyme isoform 1 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.1885	0.4749
MEPCE	gi|116734857|gn|AGL:178| glycogen debranching enzyme isoform 1 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.2007	0.4641
EIF4A2	gi|116805340|gn|GARS:2617| glycine--tRNA ligase precursor [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.3255	0.3444
MEPCE	gi|116805340|gn|GARS:2617| glycine--tRNA ligase precursor [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.4015	0.2731
EIF4A2	gi|116812575|gn|YTHDF2:51441| YTH domain family protein 2 isoform 1 [Homo sapiens]	3	3	5|5|5	0.6516	0.1128
MEPCE	gi|116812575|gn|YTHDF2:51441| YTH domain family protein 2 isoform 1 [Homo sapiens]	3	3	5|5|5	0.6530	0.1113
EIF4A2	gi|116812577|gn|LUC7L2:51631| putative RNA-binding protein Luc7-like 2 isoform 1 [Homo sapiens]	3	3	5|5|5	0.0290	0.6058
MEPCE	gi|116812577|gn|LUC7L2:51631| putative RNA-binding protein Luc7-like 2 isoform 1 [Homo sapiens]	3	3	5|5|5	0.0533	0.5892
EIF4A2	gi|117553580|gn|AP3D1:8943| AP-3 complex subunit delta-1 isoform 2 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.3715	0.3008
MEPCE	gi|117553580|gn|AP3D1:8943| AP-3 complex subunit delta-1 isoform 2 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.2860	0.3822
EIF4A2	gi|117647226|gn|RG9MTD1:54931| mitochondrial ribonuclease P protein 1 precursor [Homo sapiens]	3	1	5	0.1361	0.5235
MEPCE	gi|117647226|gn|RG9MTD1:54931| mitochondrial ribonuclease P protein 1 precursor [Homo sapiens]	3	1	5	0.3155	0.3533
EIF4A2	gi|117676384|gn|SCAF11:9169| protein SCAF11 [Homo sapiens]	3	1	5	0.3182	0.3502
MEPCE	gi|117676384|gn|SCAF11:9169| protein SCAF11 [Homo sapiens]	3	1	5	0.7341	0.0752
EIF4A2	gi|117938254|gn|BCLAF1:9774| bcl-2-associated transcription factor 1 isoform 3 [Homo sapiens]	3	10	5|5|5|5|5|10|5|5|10|5	0.1901	0.4742
MEPCE	gi|117938254|gn|BCLAF1:9774| bcl-2-associated transcription factor 1 isoform 3 [Homo sapiens]	3	10	5|5|5|5|5|10|5|5|10|5	0.3697	0.3026
EIF4A2	gi|118402586|gn|GLO1:2739| lactoylglutathione lyase [Homo sapiens]	3	1	5	0.0039	0.6344
MEPCE	gi|118402586|gn|GLO1:2739| lactoylglutathione lyase [Homo sapiens]	3	1	5	0.0123	0.6221
EIF4A2	gi|118498359|gn|RSL1D1:26156| ribosomal L1 domain-containing protein 1 [Homo sapiens]	3	2	5|5	0.7678	0.0631
MEPCE	gi|118498359|gn|RSL1D1:26156| ribosomal L1 domain-containing protein 1 [Homo sapiens]	3	2	5|5	0.9998	0.0000
EIF4A2	gi|118572613|gn|SRRM2:23524| serine/arginine repetitive matrix protein 2 [Homo sapiens]	3	8	5|10|5|5|5|5|5|5	0.6335	0.1241
MEPCE	gi|118572613|gn|SRRM2:23524| serine/arginine repetitive matrix protein 2 [Homo sapiens]	3	8	5|10|5|5|5|5|5|5	0.3300	0.3379
EIF4A2	gi|118582269|gn|SRSF1:6426| serine/arginine-rich splicing factor 1 isoform 2 [Homo sapiens]	3	5	5|5|5|5|5	0.8729	0.0246
MEPCE	gi|118582269|gn|SRSF1:6426| serine/arginine-rich splicing factor 1 isoform 2 [Homo sapiens]	3	5	5|5|5|5|5	0.8965	0.0202
EIF4A2	gi|11863154|gn|ARCN1:372| coatomer subunit delta isoform 1 [Homo sapiens]	3	1	5	0.0856	0.5666
MEPCE	gi|11863154|gn|ARCN1:372| coatomer subunit delta isoform 1 [Homo sapiens]	3	1	5	0.0337	0.6025
EIF4A2	gi|119220559|gn|PAICS:10606| multifunctional protein ADE2 isoform 1 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|10	0.3326	0.3366
MEPCE	gi|119220559|gn|PAICS:10606| multifunctional protein ADE2 isoform 1 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|10	0.1910	0.4726
EIF4A2	gi|119226260|gn|CHERP:10523| calcium homeostasis endoplasmic reticulum protein [Homo sapiens]	3	2	5|5	0.0340	0.6021
MEPCE	gi|119226260|gn|CHERP:10523| calcium homeostasis endoplasmic reticulum protein [Homo sapiens]	3	2	5|5	0.0542	0.5884
EIF4A2	gi|119395750|gn|KRT1:3848| keratin, type II cytoskeletal 1 [Homo sapiens]	3	5	5|5|5|5|5	0.4069	0.2671
MEPCE	gi|119395750|gn|KRT1:3848| keratin, type II cytoskeletal 1 [Homo sapiens]	3	5	5|5|5|5|5	0.6158	0.1314
EIF4A2	gi|11968182|gn|RPS18:6222| 40S ribosomal protein S18 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.6908	0.0897
MEPCE	gi|11968182|gn|RPS18:6222| 40S ribosomal protein S18 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.8951	0.0205
EIF4A2	gi|119703753|gn|KRT6B:3854| keratin, type II cytoskeletal 6B [Homo sapiens]	3	1	5	0.2466	0.4218
MEPCE	gi|119703753|gn|KRT6B:3854| keratin, type II cytoskeletal 6B [Homo sapiens]	3	1	5	0.3451	0.3245
EIF4A2	gi|12025678|gn|ACTN4:81| alpha-actinin-4 [Homo sapiens]	3	32	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	0.1042	0.5503
MEPCE	gi|12025678|gn|ACTN4:81| alpha-actinin-4 [Homo sapiens]	3	32	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	0.1085	0.5470
EIF4A2	gi|12056465|gn|FBL:2091| rRNA 2'-O-methyltransferase fibrillarin [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.1047	0.5498
MEPCE	gi|12056465|gn|FBL:2091| rRNA 2'-O-methyltransferase fibrillarin [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.1576	0.5054
EIF4A2	gi|122114654|gn|METTL16:79066| methyltransferase-like protein 16 [Homo sapiens]	3	14	5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.4751	0.2113
MEPCE	gi|122114654|gn|METTL16:79066| methyltransferase-like protein 16 [Homo sapiens]	3	14	5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.9975	0.0003
EIF4A2	gi|122937211|gn|KIAA0368:23392| proteasome-associated protein ECM29 homolog [Homo sapiens]	3	1	5	0.0252	0.6089
MEPCE	gi|122937211|gn|KIAA0368:23392| proteasome-associated protein ECM29 homolog [Homo sapiens]	3	1	5	0.1104	0.5461
EIF4A2	gi|122937227|gn|U2SURP:23350| U2 snRNP-associated SURP motif-containing protein [Homo sapiens]	3	6	5|5|5|5|5|5	0.4234	0.2540
MEPCE	gi|122937227|gn|U2SURP:23350| U2 snRNP-associated SURP motif-containing protein [Homo sapiens]	3	6	5|5|5|5|5|5	0.4024	0.2723
EIF4A2	gi|124028525|gn|FARSB:10056| phenylalanine--tRNA ligase beta subunit [Homo sapiens]	3	1	5	0.0918	0.5602
MEPCE	gi|124028525|gn|FARSB:10056| phenylalanine--tRNA ligase beta subunit [Homo sapiens]	3	1	5	0.1802	0.4832
EIF4A2	gi|12408675|gn|PFDN2:5202| prefoldin subunit 2 [Homo sapiens]	3	2	5|5	0.0897	0.5623
MEPCE	gi|12408675|gn|PFDN2:5202| prefoldin subunit 2 [Homo sapiens]	3	2	5|5	0.0617	0.5824
EIF4A2	gi|12408677|gn|PFDN4:5203| prefoldin subunit 4 [Homo sapiens]	3	1	5	0.2382	0.4289
MEPCE	gi|12408677|gn|PFDN4:5203| prefoldin subunit 4 [Homo sapiens]	3	1	5	0.1825	0.4808
EIF4A2	gi|124256496|gn|HSPA1L:3305| heat shock 70 kDa protein 1-like [Homo sapiens]	3	18	10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5	0.0697	0.5780
MEPCE	gi|124256496|gn|HSPA1L:3305| heat shock 70 kDa protein 1-like [Homo sapiens]	3	18	10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5	0.1419	0.5182
EIF4A2	gi|124494254|gn|PA2G4:5036| proliferation-associated protein 2G4 [Homo sapiens]	3	4	5|5|5|5	0.1268	0.5317
MEPCE	gi|124494254|gn|PA2G4:5036| proliferation-associated protein 2G4 [Homo sapiens]	3	4	5|5|5|5	0.4307	0.2498
EIF4A2	gi|12667788|gn|MYH9:4627| myosin-9 [Homo sapiens]	3	43	5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|10|5|5|5|10|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.3601	0.3109
MEPCE	gi|12667788|gn|MYH9:4627| myosin-9 [Homo sapiens]	3	43	5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|10|5|5|5|10|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.2160	0.4526
EIF4A2	gi|126722894|gn|FAM195B:348262| protein FAM195B [Homo sapiens]	3	1	5	1.0000	0.0000
MEPCE	gi|126722894|gn|FAM195B:348262| protein FAM195B [Homo sapiens]	3	1	5	0.4896	0.2020
EIF4A2	gi|13027604|gn|MRPS34:65993| 28S ribosomal protein S34, mitochondrial [Homo sapiens]	3	1	5	0.0972	0.5566
MEPCE	gi|13027604|gn|MRPS34:65993| 28S ribosomal protein S34, mitochondrial [Homo sapiens]	3	1	5	0.2290	0.4405
EIF4A2	gi|13027650|gn|SNRPN:6638| small nuclear ribonucleoprotein-associated protein N [Homo sapiens]	3	3	5|5|5	0.3980	0.2750
MEPCE	gi|13027650|gn|SNRPN:6638| small nuclear ribonucleoprotein-associated protein N [Homo sapiens]	3	3	5|5|5	0.9914	0.0012
EIF4A2	gi|130502140|gn|CAMSAP3:57662| calmodulin-regulated spectrin-associated protein 3 isoform 2 [Homo sapiens]	3	4	5|5|5|5	0.2544	0.4118
MEPCE	gi|130502140|gn|CAMSAP3:57662| calmodulin-regulated spectrin-associated protein 3 isoform 2 [Homo sapiens]	3	4	5|5|5|5	0.1825	0.4808
EIF4A2	gi|13128860|gn|HDAC1:3065| histone deacetylase 1 [Homo sapiens]	3	1	5	0.4702	0.2145
MEPCE	gi|13128860|gn|HDAC1:3065| histone deacetylase 1 [Homo sapiens]	3	1	5	0.1613	0.5021
EIF4A2	gi|13128992|gn|C19orf43:79002| uncharacterized protein C19orf43 [Homo sapiens]	3	2	5|5	0.0564	0.5872
MEPCE	gi|13128992|gn|C19orf43:79002| uncharacterized protein C19orf43 [Homo sapiens]	3	2	5|5	0.0072	0.6291
EIF4A2	gi|13129006|gn|DDX50:79009| ATP-dependent RNA helicase DDX50 [Homo sapiens]	3	5	5|5|5|5|5	0.9901	0.0015
MEPCE	gi|13129006|gn|DDX50:79009| ATP-dependent RNA helicase DDX50 [Homo sapiens]	3	5	5|5|5|5|5	0.8376	0.0367
EIF4A2	gi|13129044|gn|PDCL3:79031| phosducin-like protein 3 [Homo sapiens]	3	1	5	0.1997	0.4650
MEPCE	gi|13129044|gn|PDCL3:79031| phosducin-like protein 3 [Homo sapiens]	3	1	5	0.1502	0.5104
EIF4A2	gi|13129092|gn|TMEM109:79073| transmembrane protein 109 precursor [Homo sapiens]	3	1	5	0.0453	0.5938
MEPCE	gi|13129092|gn|TMEM109:79073| transmembrane protein 109 precursor [Homo sapiens]	3	1	5	0.1186	0.5396
EIF4A2	gi|13129110|gn|WDR77:79084| methylosome protein 50 [Homo sapiens]	3	3	10|5|5	0.0134	0.6199
MEPCE	gi|13129110|gn|WDR77:79084| methylosome protein 50 [Homo sapiens]	3	3	10|5|5	0.1031	0.5514
EIF4A2	gi|13236559|gn|C1orf35:79169| multiple myeloma tumor-associated protein 2 [Homo sapiens]	3	6	5|5|5|5|5|5	0.3223	0.3467
MEPCE	gi|13236559|gn|C1orf35:79169| multiple myeloma tumor-associated protein 2 [Homo sapiens]	3	6	5|5|5|5|5|5	0.7533	0.0681
EIF4A2	gi|13376840|gn|WDR61:80349| WD repeat-containing protein 61 [Homo sapiens]	3	2	5|5	0.1638	0.4986
MEPCE	gi|13376840|gn|WDR61:80349| WD repeat-containing protein 61 [Homo sapiens]	3	2	5|5	0.2179	0.4498
EIF4A2	gi|133925811|gn|TNPO1:3842| transportin-1 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.0416	0.5958
MEPCE	gi|133925811|gn|TNPO1:3842| transportin-1 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.1805	0.4827
EIF4A2	gi|13491174|gn|MARCKSL1:65108| MARCKS-related protein [Homo sapiens]	3	1	5	0.0071	0.6296
MEPCE	gi|13491174|gn|MARCKSL1:65108| MARCKS-related protein [Homo sapiens]	3	1	5	0.0196	0.6138
EIF4A2	gi|13654237|gn|PRKDC:5591| DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens]	3	59	5|5|5|5|5|5|5|5|5|4|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.4158	0.2598
