Bait	Prey	#Rep	#Pep	AvgP	BFDR
MEPCE	gi|112293277|gn|DNAJC8:22826| dnaJ homolog subfamily C member 8 [Homo sapiens]	3	2	0.0016	0.6476
EIF4A2	gi|112293285|gn|SPIN1:10927| spindlin-1 [Homo sapiens]	3	5	0.2333	0.3654
MEPCE	gi|112293285|gn|SPIN1:10927| spindlin-1 [Homo sapiens]	3	5	0.6523	0.0950
EIF4A2	gi|11321591|gn|HMGB2:3148| high mobility group protein B2 [Homo sapiens]	3	5	0.2255	0.3710
MEPCE	gi|11321591|gn|HMGB2:3148| high mobility group protein B2 [Homo sapiens]	3	5	0.0125	0.5944
EIF4A2	gi|11321601|gn|PFKP:5214| 6-phosphofructokinase type C isoform 1 [Homo sapiens]	3	1	0.0056	0.6206
MEPCE	gi|11321601|gn|PFKP:5214| 6-phosphofructokinase type C isoform 1 [Homo sapiens]	3	1	0.0047	0.6263
EIF4A2	gi|11321634|gn|CD2AP:23607| CD2-associated protein [Homo sapiens]	3	1	0.0020	0.6439
MEPCE	gi|11321634|gn|CD2AP:23607| CD2-associated protein [Homo sapiens]	3	1	0.0003	0.6627
EIF4A2	gi|11415026|gn|RPL18A:6142| 60S ribosomal protein L18a [Homo sapiens]	3	1	0.1328	0.4549
MEPCE	gi|11415026|gn|RPL18A:6142| 60S ribosomal protein L18a [Homo sapiens]	3	1	0.4049	0.2205
EIF4A2	gi|114155144|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 4 [Homo sapiens]	3	1	0.0036	0.6316
MEPCE	gi|114155144|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 4 [Homo sapiens]	3	1	0.2400	0.3601
EIF4A2	gi|114155146|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 3 [Homo sapiens]	3	5	0.0457	0.5446
MEPCE	gi|114155146|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 3 [Homo sapiens]	3	5	0.2213	0.3751
EIF4A2	gi|11464969|gn|PNMA2:10687| paraneoplastic antigen Ma2 [Homo sapiens]	3	1	0.0336	0.5586
MEPCE	gi|11464969|gn|PNMA2:10687| paraneoplastic antigen Ma2 [Homo sapiens]	3	1	0.1511	0.4412
EIF4A2	gi|114688046|gn|TBC1D4:9882| TBC1 domain family member 4 [Homo sapiens]	3	2	0.2509	0.3512
MEPCE	gi|114688046|gn|TBC1D4:9882| TBC1 domain family member 4 [Homo sapiens]	3	2	0.0591	0.5300
EIF4A2	gi|115298668|gn|SNRNP40:9410| U5 small nuclear ribonucleoprotein 40 kDa protein [Homo sapiens]	3	3	0.0311	0.5626
MEPCE	gi|115298668|gn|SNRNP40:9410| U5 small nuclear ribonucleoprotein 40 kDa protein [Homo sapiens]	3	3	0.5580	0.1325
EIF4A2	gi|115298682|gn|PRRC2C:23215| protein PRRC2C [Homo sapiens]	3	18	1.0000	0.0000
MEPCE	gi|115298682|gn|PRRC2C:23215| protein PRRC2C [Homo sapiens]	3	18	0.4962	0.1655
EIF4A2	gi|115387104|gn|ALDH9A1:223| 4-trimethylaminobutyraldehyde dehydrogenase [Homo sapiens]	3	5	0.1801	0.4114
MEPCE	gi|115387104|gn|ALDH9A1:223| 4-trimethylaminobutyraldehyde dehydrogenase [Homo sapiens]	3	5	0.1073	0.4851
EIF4A2	gi|11545863|gn|MCCC2:64087| methylcrotonoyl-CoA carboxylase beta chain, mitochondrial [Homo sapiens]	3	1	0.9999	0.0000
MEPCE	gi|11545863|gn|MCCC2:64087| methylcrotonoyl-CoA carboxylase beta chain, mitochondrial [Homo sapiens]	3	1	0.2300	0.3672
EIF4A2	gi|11559927|gn|MRPS14:63931| 28S ribosomal protein S14, mitochondrial [Homo sapiens]	3	1	0.0006	0.6578
MEPCE	gi|11559927|gn|MRPS14:63931| 28S ribosomal protein S14, mitochondrial [Homo sapiens]	3	1	0.0475	0.5418
EIF4A2	gi|11559929|gn|COPG1:22820| coatomer subunit gamma-1 [Homo sapiens]	3	1	0.2590	0.3454
MEPCE	gi|11559929|gn|COPG1:22820| coatomer subunit gamma-1 [Homo sapiens]	3	1	0.2183	0.3786
EIF4A2	gi|116734857|gn|AGL:178| glycogen debranching enzyme isoform 1 [Homo sapiens]	3	11	0.0537	0.5352
MEPCE	gi|116734857|gn|AGL:178| glycogen debranching enzyme isoform 1 [Homo sapiens]	3	11	0.1343	0.4546
EIF4A2	gi|116805340|gn|GARS:2617| glycine--tRNA ligase precursor [Homo sapiens]	3	7	0.3386	0.2716
MEPCE	gi|116805340|gn|GARS:2617| glycine--tRNA ligase precursor [Homo sapiens]	3	7	0.4158	0.2143
EIF4A2	gi|116812575|gn|YTHDF2:51441| YTH domain family protein 2 isoform 1 [Homo sapiens]	3	3	0.5746	0.1280
MEPCE	gi|116812575|gn|YTHDF2:51441| YTH domain family protein 2 isoform 1 [Homo sapiens]	3	3	0.5759	0.1265
EIF4A2	gi|116812577|gn|LUC7L2:51631| putative RNA-binding protein Luc7-like 2 isoform 1 [Homo sapiens]	3	3	0.0086	0.6090
MEPCE	gi|116812577|gn|LUC7L2:51631| putative RNA-binding protein Luc7-like 2 isoform 1 [Homo sapiens]	3	3	0.1276	0.4615
EIF4A2	gi|117553580|gn|AP3D1:8943| AP-3 complex subunit delta-1 isoform 2 [Homo sapiens]	3	7	0.3065	0.3007
MEPCE	gi|117553580|gn|AP3D1:8943| AP-3 complex subunit delta-1 isoform 2 [Homo sapiens]	3	7	0.2334	0.3650
EIF4A2	gi|117647226|gn|RG9MTD1:54931| mitochondrial ribonuclease P protein 1 precursor [Homo sapiens]	3	1	0.0019	0.6448
MEPCE	gi|117647226|gn|RG9MTD1:54931| mitochondrial ribonuclease P protein 1 precursor [Homo sapiens]	3	1	0.0442	0.5457
EIF4A2	gi|117676384|gn|SCAF11:9169| protein SCAF11 [Homo sapiens]	3	1	0.3331	0.2810
MEPCE	gi|117676384|gn|SCAF11:9169| protein SCAF11 [Homo sapiens]	3	1	0.9575	0.0038
EIF4A2	gi|117938254|gn|BCLAF1:9774| bcl-2-associated transcription factor 1 isoform 3 [Homo sapiens]	3	10	0.1980	0.3969
MEPCE	gi|117938254|gn|BCLAF1:9774| bcl-2-associated transcription factor 1 isoform 3 [Homo sapiens]	3	10	0.4257	0.2076
EIF4A2	gi|118402586|gn|GLO1:2739| lactoylglutathione lyase [Homo sapiens]	3	1	0.0005	0.6592
MEPCE	gi|118402586|gn|GLO1:2739| lactoylglutathione lyase [Homo sapiens]	3	1	0.0022	0.6416
EIF4A2	gi|118498359|gn|RSL1D1:26156| ribosomal L1 domain-containing protein 1 [Homo sapiens]	3	2	0.9985	0.0001
MEPCE	gi|118498359|gn|RSL1D1:26156| ribosomal L1 domain-containing protein 1 [Homo sapiens]	3	2	1.0000	0.0000
EIF4A2	gi|118572613|gn|SRRM2:23524| serine/arginine repetitive matrix protein 2 [Homo sapiens]	3	8	0.5879	0.1215
MEPCE	gi|118572613|gn|SRRM2:23524| serine/arginine repetitive matrix protein 2 [Homo sapiens]	3	8	0.2065	0.3900
EIF4A2	gi|118582269|gn|SRSF1:6426| serine/arginine-rich splicing factor 1 isoform 2 [Homo sapiens]	3	5	0.9639	0.0031
MEPCE	gi|118582269|gn|SRSF1:6426| serine/arginine-rich splicing factor 1 isoform 2 [Homo sapiens]	3	5	0.9514	0.0053
EIF4A2	gi|11863154|gn|ARCN1:372| coatomer subunit delta isoform 1 [Homo sapiens]	3	1	0.0174	0.5809
MEPCE	gi|11863154|gn|ARCN1:372| coatomer subunit delta isoform 1 [Homo sapiens]	3	1	0.0131	0.5934
EIF4A2	gi|119220559|gn|PAICS:10606| multifunctional protein ADE2 isoform 1 [Homo sapiens]	3	11	0.4955	0.1665
MEPCE	gi|119220559|gn|PAICS:10606| multifunctional protein ADE2 isoform 1 [Homo sapiens]	3	11	0.2581	0.3472
EIF4A2	gi|119226260|gn|CHERP:10523| calcium homeostasis endoplasmic reticulum protein [Homo sapiens]	3	2	0.0026	0.6387
MEPCE	gi|119226260|gn|CHERP:10523| calcium homeostasis endoplasmic reticulum protein [Homo sapiens]	3	2	0.0069	0.6141
EIF4A2	gi|119395750|gn|KRT1:3848| keratin, type II cytoskeletal 1 [Homo sapiens]	3	5	0.2625	0.3421
MEPCE	gi|119395750|gn|KRT1:3848| keratin, type II cytoskeletal 1 [Homo sapiens]	3	5	0.6401	0.0997
EIF4A2	gi|11968182|gn|RPS18:6222| 40S ribosomal protein S18 [Homo sapiens]	3	9	0.7455	0.0474
MEPCE	gi|11968182|gn|RPS18:6222| 40S ribosomal protein S18 [Homo sapiens]	3	9	0.9893	0.0007
EIF4A2	gi|119703753|gn|KRT6B:3854| keratin, type II cytoskeletal 6B [Homo sapiens]	3	1	0.0060	0.6192
MEPCE	gi|119703753|gn|KRT6B:3854| keratin, type II cytoskeletal 6B [Homo sapiens]	3	1	0.0336	0.5586
EIF4A2	gi|12025678|gn|ACTN4:81| alpha-actinin-4 [Homo sapiens]	3	32	0.0465	0.5434
MEPCE	gi|12025678|gn|ACTN4:81| alpha-actinin-4 [Homo sapiens]	3	32	0.0387	0.5530
EIF4A2	gi|12056465|gn|FBL:2091| rRNA 2'-O-methyltransferase fibrillarin [Homo sapiens]	3	9	0.0481	0.5409
MEPCE	gi|12056465|gn|FBL:2091| rRNA 2'-O-methyltransferase fibrillarin [Homo sapiens]	3	9	0.1049	0.4856
EIF4A2	gi|122114654|gn|METTL16:79066| methyltransferase-like protein 16 [Homo sapiens]	3	14	0.4085	0.2186
MEPCE	gi|122114654|gn|METTL16:79066| methyltransferase-like protein 16 [Homo sapiens]	3	14	1.0000	0.0000
EIF4A2	gi|122937211|gn|KIAA0368:23392| proteasome-associated protein ECM29 homolog [Homo sapiens]	3	1	0.0033	0.6341
MEPCE	gi|122937211|gn|KIAA0368:23392| proteasome-associated protein ECM29 homolog [Homo sapiens]	3	1	0.0053	0.6227
EIF4A2	gi|122937227|gn|U2SURP:23350| U2 snRNP-associated SURP motif-containing protein [Homo sapiens]	3	6	0.2231	0.3738
MEPCE	gi|122937227|gn|U2SURP:23350| U2 snRNP-associated SURP motif-containing protein [Homo sapiens]	3	6	0.3633	0.2527
EIF4A2	gi|124028525|gn|FARSB:10056| phenylalanine--tRNA ligase beta subunit [Homo sapiens]	3	1	0.0103	0.6014
MEPCE	gi|124028525|gn|FARSB:10056| phenylalanine--tRNA ligase beta subunit [Homo sapiens]	3	1	0.0334	0.5595
EIF4A2	gi|12408675|gn|PFDN2:5202| prefoldin subunit 2 [Homo sapiens]	3	2	0.0622	0.5258
MEPCE	gi|12408675|gn|PFDN2:5202| prefoldin subunit 2 [Homo sapiens]	3	2	0.0089	0.6077
EIF4A2	gi|12408677|gn|PFDN4:5203| prefoldin subunit 4 [Homo sapiens]	3	1	0.0033	0.6341
MEPCE	gi|12408677|gn|PFDN4:5203| prefoldin subunit 4 [Homo sapiens]	3	1	0.0089	0.6077
EIF4A2	gi|124256496|gn|HSPA1L:3305| heat shock 70 kDa protein 1-like [Homo sapiens]	3	18	0.0144	0.5895
MEPCE	gi|124256496|gn|HSPA1L:3305| heat shock 70 kDa protein 1-like [Homo sapiens]	3	18	0.0439	0.5460
EIF4A2	gi|124494254|gn|PA2G4:5036| proliferation-associated protein 2G4 [Homo sapiens]	3	4	0.2276	0.3689
MEPCE	gi|124494254|gn|PA2G4:5036| proliferation-associated protein 2G4 [Homo sapiens]	3	4	0.6578	0.0917
EIF4A2	gi|12667788|gn|MYH9:4627| myosin-9 [Homo sapiens]	3	43	0.3619	0.2550
MEPCE	gi|12667788|gn|MYH9:4627| myosin-9 [Homo sapiens]	3	43	0.1661	0.4255
EIF4A2	gi|126722894|gn|FAM195B:348262| protein FAM195B [Homo sapiens]	3	1	0.9155	0.0096
MEPCE	gi|126722894|gn|FAM195B:348262| protein FAM195B [Homo sapiens]	3	1	0.4584	0.1906
EIF4A2	gi|13027604|gn|MRPS34:65993| 28S ribosomal protein S34, mitochondrial [Homo sapiens]	3	1	0.0853	0.5019
MEPCE	gi|13027604|gn|MRPS34:65993| 28S ribosomal protein S34, mitochondrial [Homo sapiens]	3	1	0.1963	0.3992
EIF4A2	gi|13027650|gn|SNRPN:6638| small nuclear ribonucleoprotein-associated protein N [Homo sapiens]	3	3	0.7342	0.0516
MEPCE	gi|13027650|gn|SNRPN:6638| small nuclear ribonucleoprotein-associated protein N [Homo sapiens]	3	3	1.0000	0.0000
EIF4A2	gi|130502140|gn|CAMSAP3:57662| calmodulin-regulated spectrin-associated protein 3 isoform 2 [Homo sapiens]	3	4	0.1549	0.4364
MEPCE	gi|130502140|gn|CAMSAP3:57662| calmodulin-regulated spectrin-associated protein 3 isoform 2 [Homo sapiens]	3	4	0.2022	0.3949
EIF4A2	gi|13128860|gn|HDAC1:3065| histone deacetylase 1 [Homo sapiens]	3	1	0.6698	0.0840
MEPCE	gi|13128860|gn|HDAC1:3065| histone deacetylase 1 [Homo sapiens]	3	1	0.0147	0.5879
EIF4A2	gi|13128992|gn|C19orf43:79002| uncharacterized protein C19orf43 [Homo sapiens]	3	2	0.0162	0.5834
MEPCE	gi|13128992|gn|C19orf43:79002| uncharacterized protein C19orf43 [Homo sapiens]	3	2	0.0035	0.6328
EIF4A2	gi|13129006|gn|DDX50:79009| ATP-dependent RNA helicase DDX50 [Homo sapiens]	3	5	1.0000	0.0000
MEPCE	gi|13129006|gn|DDX50:79009| ATP-dependent RNA helicase DDX50 [Homo sapiens]	3	5	0.9747	0.0019
EIF4A2	gi|13129044|gn|PDCL3:79031| phosducin-like protein 3 [Homo sapiens]	3	1	0.2204	0.3758
MEPCE	gi|13129044|gn|PDCL3:79031| phosducin-like protein 3 [Homo sapiens]	3	1	0.0152	0.5854
EIF4A2	gi|13129092|gn|TMEM109:79073| transmembrane protein 109 precursor [Homo sapiens]	3	1	0.0023	0.6406
MEPCE	gi|13129092|gn|TMEM109:79073| transmembrane protein 109 precursor [Homo sapiens]	3	1	0.0138	0.5915
EIF4A2	gi|13129110|gn|WDR77:79084| methylosome protein 50 [Homo sapiens]	3	3	0.0075	0.6130
MEPCE	gi|13129110|gn|WDR77:79084| methylosome protein 50 [Homo sapiens]	3	3	0.1042	0.4869
EIF4A2	gi|13236559|gn|C1orf35:79169| multiple myeloma tumor-associated protein 2 [Homo sapiens]	3	6	0.3988	0.2266
MEPCE	gi|13236559|gn|C1orf35:79169| multiple myeloma tumor-associated protein 2 [Homo sapiens]	3	6	0.9561	0.0041
EIF4A2	gi|13376840|gn|WDR61:80349| WD repeat-containing protein 61 [Homo sapiens]	3	2	0.1034	0.4872
MEPCE	gi|13376840|gn|WDR61:80349| WD repeat-containing protein 61 [Homo sapiens]	3	2	0.2828	0.3238
EIF4A2	gi|133925811|gn|TNPO1:3842| transportin-1 isoform 1 [Homo sapiens]	3	4	0.0377	0.5541
MEPCE	gi|133925811|gn|TNPO1:3842| transportin-1 isoform 1 [Homo sapiens]	3	4	0.1628	0.4298
EIF4A2	gi|13491174|gn|MARCKSL1:65108| MARCKS-related protein [Homo sapiens]	3	1	0.0003	0.6627
MEPCE	gi|13491174|gn|MARCKSL1:65108| MARCKS-related protein [Homo sapiens]	3	1	0.0007	0.6569
EIF4A2	gi|13654237|gn|PRKDC:5591| DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens]	3	59	0.3363	0.2738
MEPCE	gi|13654237|gn|PRKDC:5591| DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens]	3	59	0.9321	0.0076
EIF4A2	gi|13676857|gn|HSPA2:3306| heat shock-related 70 kDa protein 2 [Homo sapiens]	3	9	0.0055	0.6215
MEPCE	gi|13676857|gn|HSPA2:3306| heat shock-related 70 kDa protein 2 [Homo sapiens]	3	9	0.0004	0.6613
EIF4A2	gi|13699824|gn|KIF11:3832| kinesin-like protein KIF11 [Homo sapiens]	3	29	0.1159	0.4760
MEPCE	gi|13699824|gn|KIF11:3832| kinesin-like protein KIF11 [Homo sapiens]	3	29	0.3965	0.2271
EIF4A2	gi|13786129|gn|RAB33B:83452| ras-related protein Rab-33B [Homo sapiens]	3	1	0.0248	0.5697
MEPCE	gi|13786129|gn|RAB33B:83452| ras-related protein Rab-33B [Homo sapiens]	3	1	0.0248	0.5697
EIF4A2	gi|13904870|gn|RPS5:6193| 40S ribosomal protein S5 [Homo sapiens]	3	4	0.9061	0.0105
MEPCE	gi|13904870|gn|RPS5:6193| 40S ribosomal protein S5 [Homo sapiens]	3	4	0.8896	0.0139
EIF4A2	gi|13994259|gn|MRPS5:64969| 28S ribosomal protein S5, mitochondrial [Homo sapiens]	3	2	0.0105	0.6002
MEPCE	gi|13994259|gn|MRPS5:64969| 28S ribosomal protein S5, mitochondrial [Homo sapiens]	3	2	0.2226	0.3741
EIF4A2	gi|14043022|gn|MARS:4141| methionine--tRNA ligase, cytoplasmic [Homo sapiens]	3	4	0.3418	0.2682
MEPCE	gi|14043022|gn|MARS:4141| methionine--tRNA ligase, cytoplasmic [Homo sapiens]	3	4	0.2533	0.3494
EIF4A2	gi|14043070|gn|HNRNPA1:3178| heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens]	3	15	1.0000	0.0000
MEPCE	gi|14043070|gn|HNRNPA1:3178| heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens]	3	15	1.0000	0.0000
EIF4A2	gi|14043072|gn|HNRNPA2B1:3181| heterogeneous nuclear ribonucleoproteins A2/B1 isoform B1 [Homo sapiens]	3	18	1.0000	0.0000
MEPCE	gi|14043072|gn|HNRNPA2B1:3181| heterogeneous nuclear ribonucleoproteins A2/B1 isoform B1 [Homo sapiens]	3	18	0.9999	0.0000
EIF4A2	gi|14110420|gn|HNRNPD:3184| heterogeneous nuclear ribonucleoprotein D0 isoform a [Homo sapiens]	3	1	0.6616	0.0893
MEPCE	gi|14110420|gn|HNRNPD:3184| heterogeneous nuclear ribonucleoprotein D0 isoform a [Homo sapiens]	3	1	0.5339	0.1443
EIF4A2	gi|14141157|gn|HNRNPH3:3189| heterogeneous nuclear ribonucleoprotein H3 isoform a [Homo sapiens]	3	1	0.5117	0.1560
MEPCE	gi|14141157|gn|HNRNPH3:3189| heterogeneous nuclear ribonucleoprotein H3 isoform a [Homo sapiens]	3	1	0.2033	0.3943
EIF4A2	gi|14141193|gn|RPS9:6203| 40S ribosomal protein S9 [Homo sapiens]	3	4	0.9999	0.0000
MEPCE	gi|14141193|gn|RPS9:6203| 40S ribosomal protein S9 [Homo sapiens]	3	4	0.9530	0.0049
EIF4A2	gi|14149680|gn|ESYT1:23344| extended synaptotagmin-1 isoform 2 [Homo sapiens]	3	5	0.3292	0.2852
MEPCE	gi|14149680|gn|ESYT1:23344| extended synaptotagmin-1 isoform 2 [Homo sapiens]	3	5	0.1257	0.4638
EIF4A2	gi|14150100|gn|NTPCR:84284| cancer-related nucleoside-triphosphatase [Homo sapiens]	3	2	0.0020	0.6439
MEPCE	gi|14150100|gn|NTPCR:84284| cancer-related nucleoside-triphosphatase [Homo sapiens]	3	2	0.0055	0.6215
EIF4A2	gi|14165437|gn|HNRNPK:3190| heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	3	19	0.6621	0.0888
MEPCE	gi|14165437|gn|HNRNPK:3190| heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	3	19	0.8467	0.0217
EIF4A2	gi|14165466|gn|PTBP1:5725| polypyrimidine tract-binding protein 1 isoform c [Homo sapiens]	3	13	0.9996	0.0000
MEPCE	gi|14165466|gn|PTBP1:5725| polypyrimidine tract-binding protein 1 isoform c [Homo sapiens]	3	13	0.4056	0.2195
EIF4A2	gi|14210536|gn|TUBB6:84617| tubulin beta-6 chain [Homo sapiens]	3	8	0.0947	0.4935
MEPCE	gi|14210536|gn|TUBB6:84617| tubulin beta-6 chain [Homo sapiens]	3	8	0.1706	0.4205
EIF4A2	gi|14211889|gn|DPY30:84661| protein dpy-30 homolog [Homo sapiens]	3	1	0.3230	0.2893
