Bait	Prey	#Rep	AvgP	BFDR
MEPCE	gi|115298682|gn|PRRC2C:23215| protein PRRC2C [Homo sapiens]	3	0.0954	0.3795
EIF4A2	gi|115387104|gn|ALDH9A1:223| 4-trimethylaminobutyraldehyde dehydrogenase [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|115387104|gn|ALDH9A1:223| 4-trimethylaminobutyraldehyde dehydrogenase [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|11545863|gn|MCCC2:64087| methylcrotonoyl-CoA carboxylase beta chain, mitochondrial [Homo sapiens]	3	0.9998	0.0000
MEPCE	gi|11545863|gn|MCCC2:64087| methylcrotonoyl-CoA carboxylase beta chain, mitochondrial [Homo sapiens]	3	0.1638	0.3217
EIF4A2	gi|11559927|gn|MRPS14:63931| 28S ribosomal protein S14, mitochondrial [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|11559927|gn|MRPS14:63931| 28S ribosomal protein S14, mitochondrial [Homo sapiens]	3	0.0244	0.4730
EIF4A2	gi|11559929|gn|COPG1:22820| coatomer subunit gamma-1 [Homo sapiens]	3	0.1512	0.3324
MEPCE	gi|11559929|gn|COPG1:22820| coatomer subunit gamma-1 [Homo sapiens]	3	0.1053	0.3728
EIF4A2	gi|116734857|gn|AGL:178| glycogen debranching enzyme isoform 1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|116734857|gn|AGL:178| glycogen debranching enzyme isoform 1 [Homo sapiens]	3	0.0002	0.6436
EIF4A2	gi|116805340|gn|GARS:2617| glycine--tRNA ligase precursor [Homo sapiens]	3	0.2811	0.2611
MEPCE	gi|116805340|gn|GARS:2617| glycine--tRNA ligase precursor [Homo sapiens]	3	0.1089	0.3686
EIF4A2	gi|116812575|gn|YTHDF2:51441| YTH domain family protein 2 isoform 1 [Homo sapiens]	3	0.6878	0.0390
MEPCE	gi|116812575|gn|YTHDF2:51441| YTH domain family protein 2 isoform 1 [Homo sapiens]	3	0.6660	0.0726
EIF4A2	gi|116812577|gn|LUC7L2:51631| putative RNA-binding protein Luc7-like 2 isoform 1 [Homo sapiens]	3	0.0002	0.6436
MEPCE	gi|116812577|gn|LUC7L2:51631| putative RNA-binding protein Luc7-like 2 isoform 1 [Homo sapiens]	3	0.0233	0.4763
EIF4A2	gi|117553580|gn|AP3D1:8943| AP-3 complex subunit delta-1 isoform 2 [Homo sapiens]	3	0.9994	0.0000
MEPCE	gi|117553580|gn|AP3D1:8943| AP-3 complex subunit delta-1 isoform 2 [Homo sapiens]	3	0.3609	0.1836
EIF4A2	gi|117647226|gn|RG9MTD1:54931| mitochondrial ribonuclease P protein 1 precursor [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|117647226|gn|RG9MTD1:54931| mitochondrial ribonuclease P protein 1 precursor [Homo sapiens]	3	0.0036	0.5644
EIF4A2	gi|117676384|gn|SCAF11:9169| protein SCAF11 [Homo sapiens]	3	0.3196	0.2447
MEPCE	gi|117676384|gn|SCAF11:9169| protein SCAF11 [Homo sapiens]	3	0.9388	0.0031
EIF4A2	gi|117938254|gn|BCLAF1:9774| bcl-2-associated transcription factor 1 isoform 3 [Homo sapiens]	3	0.0002	0.6436
MEPCE	gi|117938254|gn|BCLAF1:9774| bcl-2-associated transcription factor 1 isoform 3 [Homo sapiens]	3	0.6499	0.0830
EIF4A2	gi|118402586|gn|GLO1:2739| lactoylglutathione lyase [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|118402586|gn|GLO1:2739| lactoylglutathione lyase [Homo sapiens]	3	0.0003	0.6339
EIF4A2	gi|118498359|gn|RSL1D1:26156| ribosomal L1 domain-containing protein 1 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|118498359|gn|RSL1D1:26156| ribosomal L1 domain-containing protein 1 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|118572613|gn|SRRM2:23524| serine/arginine repetitive matrix protein 2 [Homo sapiens]	3	0.0002	0.6436
MEPCE	gi|118572613|gn|SRRM2:23524| serine/arginine repetitive matrix protein 2 [Homo sapiens]	3	0.0002	0.6436
EIF4A2	gi|118582269|gn|SRSF1:6426| serine/arginine-rich splicing factor 1 isoform 2 [Homo sapiens]	3	0.9999	0.0000
MEPCE	gi|118582269|gn|SRSF1:6426| serine/arginine-rich splicing factor 1 isoform 2 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|11863154|gn|ARCN1:372| coatomer subunit delta isoform 1 [Homo sapiens]	3	0.0107	0.5131
MEPCE	gi|11863154|gn|ARCN1:372| coatomer subunit delta isoform 1 [Homo sapiens]	3	0.0068	0.5365
EIF4A2	gi|119220559|gn|PAICS:10606| multifunctional protein ADE2 isoform 1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|119220559|gn|PAICS:10606| multifunctional protein ADE2 isoform 1 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|119226260|gn|CHERP:10523| calcium homeostasis endoplasmic reticulum protein [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|119226260|gn|CHERP:10523| calcium homeostasis endoplasmic reticulum protein [Homo sapiens]	3	0.0004	0.6277
EIF4A2	gi|119395750|gn|KRT1:3848| keratin, type II cytoskeletal 1 [Homo sapiens]	3	0.0608	0.4155
MEPCE	gi|119395750|gn|KRT1:3848| keratin, type II cytoskeletal 1 [Homo sapiens]	3	0.6628	0.0768
EIF4A2	gi|11968182|gn|RPS18:6222| 40S ribosomal protein S18 [Homo sapiens]	3	0.9979	0.0001
MEPCE	gi|11968182|gn|RPS18:6222| 40S ribosomal protein S18 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|119703753|gn|KRT6B:3854| keratin, type II cytoskeletal 6B [Homo sapiens]	3	0.0040	0.5611
MEPCE	gi|119703753|gn|KRT6B:3854| keratin, type II cytoskeletal 6B [Homo sapiens]	3	0.0226	0.4783
EIF4A2	gi|12025678|gn|ACTN4:81| alpha-actinin-4 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|12025678|gn|ACTN4:81| alpha-actinin-4 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|12056465|gn|FBL:2091| rRNA 2'-O-methyltransferase fibrillarin [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|12056465|gn|FBL:2091| rRNA 2'-O-methyltransferase fibrillarin [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|122114654|gn|METTL16:79066| methyltransferase-like protein 16 [Homo sapiens]	3	0.0338	0.4543
MEPCE	gi|122114654|gn|METTL16:79066| methyltransferase-like protein 16 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|122937211|gn|KIAA0368:23392| proteasome-associated protein ECM29 homolog [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|122937211|gn|KIAA0368:23392| proteasome-associated protein ECM29 homolog [Homo sapiens]	3	0.0004	0.6277
EIF4A2	gi|122937227|gn|U2SURP:23350| U2 snRNP-associated SURP motif-containing protein [Homo sapiens]	3	0.0008	0.6130
MEPCE	gi|122937227|gn|U2SURP:23350| U2 snRNP-associated SURP motif-containing protein [Homo sapiens]	3	0.0459	0.4379
EIF4A2	gi|124028525|gn|FARSB:10056| phenylalanine--tRNA ligase beta subunit [Homo sapiens]	3	0.0004	0.6277
MEPCE	gi|124028525|gn|FARSB:10056| phenylalanine--tRNA ligase beta subunit [Homo sapiens]	3	0.0034	0.5681
EIF4A2	gi|12408675|gn|PFDN2:5202| prefoldin subunit 2 [Homo sapiens]	3	0.0310	0.4600
MEPCE	gi|12408675|gn|PFDN2:5202| prefoldin subunit 2 [Homo sapiens]	3	0.0002	0.6436
EIF4A2	gi|12408677|gn|PFDN4:5203| prefoldin subunit 4 [Homo sapiens]	3	0.0002	0.6436
MEPCE	gi|12408677|gn|PFDN4:5203| prefoldin subunit 4 [Homo sapiens]	3	0.0008	0.6130
EIF4A2	gi|124256496|gn|HSPA1L:3305| heat shock 70 kDa protein 1-like [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|124256496|gn|HSPA1L:3305| heat shock 70 kDa protein 1-like [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|124494254|gn|PA2G4:5036| proliferation-associated protein 2G4 [Homo sapiens]	3	0.6667	0.0650
MEPCE	gi|124494254|gn|PA2G4:5036| proliferation-associated protein 2G4 [Homo sapiens]	3	0.7097	0.0316
EIF4A2	gi|12667788|gn|MYH9:4627| myosin-9 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|12667788|gn|MYH9:4627| myosin-9 [Homo sapiens]	3	0.0002	0.6436
EIF4A2	gi|126722894|gn|FAM195B:348262| protein FAM195B [Homo sapiens]	3	0.8775	0.0075
MEPCE	gi|126722894|gn|FAM195B:348262| protein FAM195B [Homo sapiens]	3	0.3700	0.1762
EIF4A2	gi|13027604|gn|MRPS34:65993| 28S ribosomal protein S34, mitochondrial [Homo sapiens]	3	0.0603	0.4159
MEPCE	gi|13027604|gn|MRPS34:65993| 28S ribosomal protein S34, mitochondrial [Homo sapiens]	3	0.1419	0.3396
EIF4A2	gi|13027650|gn|SNRPN:6638| small nuclear ribonucleoprotein-associated protein N [Homo sapiens]	3	0.3455	0.1989
MEPCE	gi|13027650|gn|SNRPN:6638| small nuclear ribonucleoprotein-associated protein N [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|130502140|gn|CAMSAP3:57662| calmodulin-regulated spectrin-associated protein 3 isoform 2 [Homo sapiens]	3	0.0014	0.6008
MEPCE	gi|130502140|gn|CAMSAP3:57662| calmodulin-regulated spectrin-associated protein 3 isoform 2 [Homo sapiens]	3	0.1283	0.3505
EIF4A2	gi|13128860|gn|HDAC1:3065| histone deacetylase 1 [Homo sapiens]	3	0.6683	0.0593
MEPCE	gi|13128860|gn|HDAC1:3065| histone deacetylase 1 [Homo sapiens]	3	0.0081	0.5258
EIF4A2	gi|13128992|gn|C19orf43:79002| uncharacterized protein C19orf43 [Homo sapiens]	3	0.0055	0.5474
MEPCE	gi|13128992|gn|C19orf43:79002| uncharacterized protein C19orf43 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|13129006|gn|DDX50:79009| ATP-dependent RNA helicase DDX50 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|13129006|gn|DDX50:79009| ATP-dependent RNA helicase DDX50 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|13129044|gn|PDCL3:79031| phosducin-like protein 3 [Homo sapiens]	3	0.1844	0.3116
MEPCE	gi|13129044|gn|PDCL3:79031| phosducin-like protein 3 [Homo sapiens]	3	0.0016	0.5954
EIF4A2	gi|13129092|gn|TMEM109:79073| transmembrane protein 109 precursor [Homo sapiens]	3	0.0015	0.5994
MEPCE	gi|13129092|gn|TMEM109:79073| transmembrane protein 109 precursor [Homo sapiens]	3	0.0092	0.5188
EIF4A2	gi|13129110|gn|WDR77:79084| methylosome protein 50 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|13129110|gn|WDR77:79084| methylosome protein 50 [Homo sapiens]	3	0.0383	0.4464
EIF4A2	gi|13236559|gn|C1orf35:79169| multiple myeloma tumor-associated protein 2 [Homo sapiens]	3	0.0006	0.6194
MEPCE	gi|13236559|gn|C1orf35:79169| multiple myeloma tumor-associated protein 2 [Homo sapiens]	3	0.7166	0.0286
EIF4A2	gi|13376840|gn|WDR61:80349| WD repeat-containing protein 61 [Homo sapiens]	3	0.0652	0.4092
MEPCE	gi|13376840|gn|WDR61:80349| WD repeat-containing protein 61 [Homo sapiens]	3	0.1289	0.3499
EIF4A2	gi|133925811|gn|TNPO1:3842| transportin-1 isoform 1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|133925811|gn|TNPO1:3842| transportin-1 isoform 1 [Homo sapiens]	3	0.0034	0.5681
EIF4A2	gi|13491174|gn|MARCKSL1:65108| MARCKS-related protein [Homo sapiens]	3	0.0002	0.6436
MEPCE	gi|13491174|gn|MARCKSL1:65108| MARCKS-related protein [Homo sapiens]	3	0.0004	0.6277
EIF4A2	gi|13654237|gn|PRKDC:5591| DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens]	3	0.0869	0.3872
MEPCE	gi|13654237|gn|PRKDC:5591| DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens]	3	0.6130	0.0968
EIF4A2	gi|13676857|gn|HSPA2:3306| heat shock-related 70 kDa protein 2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|13676857|gn|HSPA2:3306| heat shock-related 70 kDa protein 2 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|13699824|gn|KIF11:3832| kinesin-like protein KIF11 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|13699824|gn|KIF11:3832| kinesin-like protein KIF11 [Homo sapiens]	3	0.0766	0.3973
EIF4A2	gi|13786129|gn|RAB33B:83452| ras-related protein Rab-33B [Homo sapiens]	3	0.0013	0.6021
MEPCE	gi|13786129|gn|RAB33B:83452| ras-related protein Rab-33B [Homo sapiens]	3	0.0026	0.5780
EIF4A2	gi|13904870|gn|RPS5:6193| 40S ribosomal protein S5 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|13904870|gn|RPS5:6193| 40S ribosomal protein S5 [Homo sapiens]	3	0.9994	0.0000
EIF4A2	gi|13994259|gn|MRPS5:64969| 28S ribosomal protein S5, mitochondrial [Homo sapiens]	3	0.0013	0.6021
MEPCE	gi|13994259|gn|MRPS5:64969| 28S ribosomal protein S5, mitochondrial [Homo sapiens]	3	0.5201	0.1232
EIF4A2	gi|14043022|gn|MARS:4141| methionine--tRNA ligase, cytoplasmic [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|14043022|gn|MARS:4141| methionine--tRNA ligase, cytoplasmic [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|14043070|gn|HNRNPA1:3178| heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|14043070|gn|HNRNPA1:3178| heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|14043072|gn|HNRNPA2B1:3181| heterogeneous nuclear ribonucleoproteins A2/B1 isoform B1 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|14043072|gn|HNRNPA2B1:3181| heterogeneous nuclear ribonucleoproteins A2/B1 isoform B1 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|14110420|gn|HNRNPD:3184| heterogeneous nuclear ribonucleoprotein D0 isoform a [Homo sapiens]	3	0.6395	0.0857
MEPCE	gi|14110420|gn|HNRNPD:3184| heterogeneous nuclear ribonucleoprotein D0 isoform a [Homo sapiens]	3	0.4606	0.1378
EIF4A2	gi|14141157|gn|HNRNPH3:3189| heterogeneous nuclear ribonucleoprotein H3 isoform a [Homo sapiens]	3	0.4096	0.1565
MEPCE	gi|14141157|gn|HNRNPH3:3189| heterogeneous nuclear ribonucleoprotein H3 isoform a [Homo sapiens]	3	0.1496	0.3329
EIF4A2	gi|14141193|gn|RPS9:6203| 40S ribosomal protein S9 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|14141193|gn|RPS9:6203| 40S ribosomal protein S9 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|14149680|gn|ESYT1:23344| extended synaptotagmin-1 isoform 2 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|14149680|gn|ESYT1:23344| extended synaptotagmin-1 isoform 2 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|14150100|gn|NTPCR:84284| cancer-related nucleoside-triphosphatase [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|14150100|gn|NTPCR:84284| cancer-related nucleoside-triphosphatase [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|14165437|gn|HNRNPK:3190| heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	3	0.2072	0.2956
MEPCE	gi|14165437|gn|HNRNPK:3190| heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	3	0.6869	0.0396
EIF4A2	gi|14165466|gn|PTBP1:5725| polypyrimidine tract-binding protein 1 isoform c [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|14165466|gn|PTBP1:5725| polypyrimidine tract-binding protein 1 isoform c [Homo sapiens]	3	0.0822	0.3933
EIF4A2	gi|14210536|gn|TUBB6:84617| tubulin beta-6 chain [Homo sapiens]	3	0.0006	0.6194
MEPCE	gi|14210536|gn|TUBB6:84617| tubulin beta-6 chain [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|14211889|gn|DPY30:84661| protein dpy-30 homolog [Homo sapiens]	3	0.2464	0.2754
MEPCE	gi|14211889|gn|DPY30:84661| protein dpy-30 homolog [Homo sapiens]	3	0.2490	0.2743
EIF4A2	gi|14269586|gn|MRPS26:64949| 28S ribosomal protein S26, mitochondrial [Homo sapiens]	3	0.0012	0.6030
MEPCE	gi|14269586|gn|MRPS26:64949| 28S ribosomal protein S26, mitochondrial [Homo sapiens]	3	0.0030	0.5732
EIF4A2	gi|14277700|gn|RPS12:6206| 40S ribosomal protein S12 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|14277700|gn|RPS12:6206| 40S ribosomal protein S12 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|145309311|gn|USP9X:8239| probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform 4 [Homo sapiens]	3	0.0048	0.5561
MEPCE	gi|145309311|gn|USP9X:8239| probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform 4 [Homo sapiens]	3	0.0808	0.3938
