Interactor1	Interactor2	Complex.name	Complex.id	geneName1	geneName2	GATA4	TBX5	NKX25
Q9UKV3	Q8WYA6	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q9P013	Spliceosome	351	ACIN1	CWC15	1	0	1
Q9UKV3	Q9HCG8	Spliceosome	351	ACIN1	CWC22	1	0	1
Q9UKV3	Q92841	Spliceosome	351	ACIN1	DDX17	1	0	1
Q9UKV3	Q9BUQ8	Spliceosome	351	ACIN1	DDX23	1	0	1
Q9UKV3	O00571	Spliceosome	351	ACIN1	DDX3X	1	0	1
Q9UKV3	Q9UJV9	Spliceosome	351	ACIN1	DDX41	1	0	1
Q9UKV3	Q7L014	Spliceosome	351	ACIN1	DDX46	1	0	1
Q9UKV3	P17844	Spliceosome	351	ACIN1	DDX5	1	0	1
Q9UKV3	Q96DF8	Spliceosome	351	ACIN1	ESS2	1	0	1
Q9UKV3	O43143	Spliceosome	351	ACIN1	DHX15	1	0	1
Q9UKV3	O60231	Spliceosome	351	ACIN1	DHX16	1	0	1
Q9UKV3	Q92620	Spliceosome	351	ACIN1	DHX38	1	0	1
Q9UKV3	Q14562	Spliceosome	351	ACIN1	DHX8	1	0	1
Q9UKV3	Q08211	Spliceosome	351	ACIN1	DHX9	1	0	1
Q9UKV3	O75937	Spliceosome	351	ACIN1	DNAJC8	1	0	1
Q9UKV3	Q15029	Spliceosome	351	ACIN1	EFTUD2	1	0	1
Q9UKV3	P38919	Spliceosome	351	ACIN1	EIF4A3	1	0	1
Q9UKV3	Q4ZG51	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q9Y5B6	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	O43719	Spliceosome	351	ACIN1	HTATSF1	1	0	1
Q9UKV3	O00425	Spliceosome	351	ACIN1	IGF2BP3	1	0	1
Q9UKV3	Q13123	Spliceosome	351	ACIN1	IK	1	0	1
Q9UKV3	Q9ULR0	Spliceosome	351	ACIN1	ISY1	1	0	1
Q9UKV3	Q69YN4	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q9Y333	Spliceosome	351	ACIN1	LSM2	1	0	1
Q9UKV3	P62310	Spliceosome	351	ACIN1	LSM3	1	0	1
Q9UKV3	Q9Y4Z0	Spliceosome	351	ACIN1	LSM4	1	0	1
Q9UKV3	P62312	Spliceosome	351	ACIN1	LSM6	1	0	1
Q9UKV3	Q9UK45	Spliceosome	351	ACIN1	LSM7	1	0	1
Q9UKV3	P61326	Spliceosome	351	ACIN1	MAGOH	1	0	1
Q9UKV3	P55081	Spliceosome	351	ACIN1	MFAP1	1	0	1
Q9UKV3	Q9HCE1	Spliceosome	351	ACIN1	MOV10	1	0	1
Q9UKV3	Q09161	Spliceosome	351	ACIN1	NCBP1	1	0	1
Q9UKV3	P52298	Spliceosome	351	ACIN1	NCBP2	1	0	1
Q9UKV3	P55769	Spliceosome	351	ACIN1	SNU13	1	0	1
Q9UKV3	O43809	Spliceosome	351	ACIN1	NUDT21	1	0	1
Q9UKV3	P11940	Spliceosome	351	ACIN1	PABPC1	1	0	1
Q9UKV3	O43660	Spliceosome	351	ACIN1	PLRG1	1	0	1
Q9UKV3	Q9UNP9	Spliceosome	351	ACIN1	PPIE	1	0	1
Q9UKV3	O43447	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q9Y3C6	Spliceosome	351	ACIN1	PPIL1	1	0	1
Q9UKV3	Q13356	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q9H2H8	Spliceosome	351	ACIN1	PPIL3	1	0	1
Q9UKV3	O15355	Spliceosome	351	ACIN1	PPM1G	1	0	1
Q9UKV3	Q96BP3	Spliceosome	351	ACIN1	PPWD1	1	0	1
Q9UKV3	Q99633	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q9UMS4	Spliceosome	351	ACIN1	PRPF19	1	0	1
Q9UKV3	O43395	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q8WWY3	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	O43172	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	O75400	Spliceosome	351	ACIN1	PRPF40A	1	0	1
Q9UKV3	Q13523	Spliceosome	351	ACIN1	PRPF4B	1	0	1
Q9UKV3	O94906	Spliceosome	351	ACIN1	PRPF6	1	0	1
Q9UKV3	Q6P2Q9	Spliceosome	351	ACIN1	PRPF8	1	0	1
Q9UKV3	Q9UHX1	Spliceosome	351	ACIN1	PUF60	1	0	1
Q9UKV3	Q96T37	Spliceosome	351	ACIN1	RBM15	1	0	1
Q9UKV3	Q96I25	Spliceosome	351	ACIN1	RBM17	1	0	1
Q9UKV3	Q9NW64	Spliceosome	351	ACIN1	RBM22	1	0	1
Q9UKV3	P49756	Spliceosome	351	ACIN1	RBM25	1	0	1
Q9UKV3	Q14498	Spliceosome	351	ACIN1	RBM39	1	0	1
Q9UKV3	Q9Y5S9	Spliceosome	351	ACIN1	RBM8A	1	0	1
Q9UKV3	Q15287	Spliceosome	351	ACIN1	RNPS1	1	0	1
Q9UKV3	O43290	Spliceosome	351	ACIN1	SART1	1	0	1
Q9UKV3	Q15637	Spliceosome	351	ACIN1	SF1	1	0	1
Q9UKV3	Q15459	Spliceosome	351	ACIN1	SF3A1	1	0	1
Q9UKV3	Q15428	Spliceosome	351	ACIN1	SF3A2	1	0	1
Q9UKV3	Q12874	Spliceosome	351	ACIN1	SF3A3	1	0	1
Q9UKV3	O75533	Spliceosome	351	ACIN1	SF3B1	1	0	1
Q9UKV3	Q9Y3B4	Spliceosome	351	ACIN1	SF3B6	1	0	1
Q9UKV3	Q13435	Spliceosome	351	ACIN1	SF3B2	1	0	1
Q9UKV3	Q15393	Spliceosome	351	ACIN1	SF3B3	1	0	1
Q9UKV3	Q15427	Spliceosome	351	ACIN1	SF3B4	1	0	1
Q9UKV3	Q07955	Spliceosome	351	ACIN1	SRSF1	1	0	1
Q9UKV3	Q05519	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q01130	Spliceosome	351	ACIN1	SRSF2	1	0	1
Q9UKV3	P84103	Spliceosome	351	ACIN1	SRSF3	1	0	1
Q9UKV3	Q08170	Spliceosome	351	ACIN1	SRSF4	1	0	1
Q9UKV3	Q13243	Spliceosome	351	ACIN1	SRSF5	1	0	1
Q9UKV3	Q16629	Spliceosome	351	ACIN1	SRSF7	1	0	1
Q9UKV3	P42285	Spliceosome	351	ACIN1	MTREX	1	0	1
Q9UKV3	O95391	Spliceosome	351	ACIN1	SLU7	1	0	1
Q9UKV3	O75940	Spliceosome	351	ACIN1	SMNDC1	1	0	1
Q9UKV3	Q2TAY7	Spliceosome	351	ACIN1	SMU1	1	0	1
Q9UKV3	O75643	Spliceosome	351	ACIN1	SNRNP200	1	0	1
Q9UKV3	Q8WVK2	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q96DI7	Spliceosome	351	ACIN1	SNRNP40	1	0	1
Q9UKV3	P08621	Spliceosome	351	ACIN1	SNRNP70	1	0	1
Q9UKV3	P09012	Spliceosome	351	ACIN1	SNRPA	1	0	1
Q9UKV3	P09661	Spliceosome	351	ACIN1	SNRPA1	1	0	1
Q9UKV3	P14678	Spliceosome	351	ACIN1	SNRPB	1	0	1
Q9UKV3	P08579	Spliceosome	351	ACIN1	SNRPB2	1	0	1
Q9UKV3	P09234	Spliceosome	351	ACIN1	SNRPC	1	0	1
Q9UKV3	P62314	Spliceosome	351	ACIN1	SNRPD1	1	0	1
Q9UKV3	P62316	Spliceosome	351	ACIN1	SNRPD2	1	0	1
Q9UKV3	P62318	Spliceosome	351	ACIN1	SNRPD3	1	0	1
Q9UKV3	P62304	Spliceosome	351	ACIN1	SNRPE	1	0	1
Q9UKV3	P62306	Spliceosome	351	ACIN1	SNRPF	1	0	1
Q9UKV3	P62308	Spliceosome	351	ACIN1	SNRPG	1	0	1
Q9UKV3	Q13573	Spliceosome	351	ACIN1	SNW1	1	0	1
Q9UKV3	Q96T58	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	O15042	Spliceosome	351	ACIN1	U2SURP	1	0	1
Q9UKV3	Q8IYB3	Spliceosome	351	ACIN1	SRRM1	1	0	1
Q9UKV3	Q9UQ35	Spliceosome	351	ACIN1	SRRM2	1	0	1
Q9UKV3	Q9BXP5	Spliceosome	351	ACIN1	SRRT	1	0	1
Q9UKV3	Q13247	Spliceosome	351	ACIN1	SRSF6	1	0	1
Q9UKV3	Q13242	Spliceosome	351	ACIN1	SRSF9	1	0	1
Q9UKV3	O95926	Spliceosome	351	ACIN1	SYF2	1	0	1
Q9UKV3	O14776	Spliceosome	351	ACIN1	TCERG1	1	0	1
Q9UKV3	Q9UBB9	Spliceosome	351	ACIN1	TFIP11	1	0	1
Q9UKV3	Q96FV9	Spliceosome	351	ACIN1	THOC1	1	0	1
Q9UKV3	Q8NI27	Spliceosome	351	ACIN1	THOC2	1	0	1
Q9UKV3	Q96J01	Spliceosome	351	ACIN1	THOC3	1	0	1
Q9UKV3	Q86V81	Spliceosome	351	ACIN1	ALYREF	1	0	1
Q9UKV3	Q13769	Spliceosome	351	ACIN1	THOC5	1	0	1
Q9UKV3	Q86W42	Spliceosome	351	ACIN1	THOC6	1	0	1
Q9UKV3	Q6I9Y2	Spliceosome	351	ACIN1	THOC7	1	0	1
Q9UKV3	P62995	Spliceosome	351	ACIN1	TRA2B	1	0	1
Q9UKV3	P83876	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q01081	Spliceosome	351	ACIN1	U2AF1	1	0	1
Q9UKV3	P26368	Spliceosome	351	ACIN1	U2AF2	1	0	1
Q9UKV3	Q53GS9	Spliceosome	351	ACIN1	USP39	1	0	1
Q9UKV3	Q9Y2W2	Spliceosome	351	ACIN1	WBP11	1	0	1
Q9UKV3	Q15007	Spliceosome	351	ACIN1	WTAP	1	0	1
Q9UKV3	Q9HCS7	Spliceosome	351	ACIN1	XAB2	1	0	1
Q9UKV3	O43670	Spliceosome	351	ACIN1	NA	1	0	1
O60306	Q13838	Spliceosome	351	AQR	DDX39B	1	0	1
O60306	O75934	Spliceosome	351	AQR	BCAS2	1	0	1
O60306	Q9BRD0	Spliceosome	351	AQR	NA	1	0	1
O60306	P41223	Spliceosome	351	AQR	NA	1	0	1
O60306	Q9Y6A4	Spliceosome	351	AQR	NA	1	0	1
O60306	Q8WUQ7	Spliceosome	351	AQR	CACTIN	1	0	1
O60306	Q9BQ61	Spliceosome	351	AQR	NA	1	0	1
O60306	O95400	Spliceosome	351	AQR	NA	1	0	1
O60306	O60508	Spliceosome	351	AQR	CDC40	1	0	1
O60306	Q99459	Spliceosome	351	AQR	CDC5L	1	0	1
O60306	Q14011	Spliceosome	351	AQR	CIRBP	1	0	1
O60306	Q16630	Spliceosome	351	AQR	CPSF6	1	0	1
O60306	Q9NYV4	Spliceosome	351	AQR	NA	1	0	1
O60306	Q9BZJ0	Spliceosome	351	AQR	CRNKL1	1	0	1
O60306	O95232	Spliceosome	351	AQR	NA	1	0	1
O60306	Q8WYA6	Spliceosome	351	AQR	NA	1	0	1
O60306	Q9P013	Spliceosome	351	AQR	CWC15	1	0	1
O60306	Q9HCG8	Spliceosome	351	AQR	CWC22	1	0	1
O60306	Q92841	Spliceosome	351	AQR	DDX17	1	0	1
O60306	Q9BUQ8	Spliceosome	351	AQR	DDX23	1	0	1
O60306	O00571	Spliceosome	351	AQR	DDX3X	1	0	1
O60306	Q9UJV9	Spliceosome	351	AQR	DDX41	1	0	1
O60306	Q7L014	Spliceosome	351	AQR	DDX46	1	0	1
O60306	P17844	Spliceosome	351	AQR	DDX5	1	0	1
O60306	Q96DF8	Spliceosome	351	AQR	ESS2	1	0	1
O60306	O43143	Spliceosome	351	AQR	DHX15	1	0	1
O60306	O60231	Spliceosome	351	AQR	DHX16	1	0	1
O60306	Q92620	Spliceosome	351	AQR	DHX38	1	0	1
O60306	Q14562	Spliceosome	351	AQR	DHX8	1	0	1
O60306	Q08211	Spliceosome	351	AQR	DHX9	1	0	1
O60306	O75937	Spliceosome	351	AQR	DNAJC8	1	0	1
O60306	Q15029	Spliceosome	351	AQR	EFTUD2	1	0	1
O60306	P38919	Spliceosome	351	AQR	EIF4A3	1	0	1
O60306	Q4ZG51	Spliceosome	351	AQR	NA	1	0	1
O60306	Q9Y5B6	Spliceosome	351	AQR	NA	1	0	1
O60306	O43719	Spliceosome	351	AQR	HTATSF1	1	0	1
O60306	O00425	Spliceosome	351	AQR	IGF2BP3	1	0	1
O60306	Q13123	Spliceosome	351	AQR	IK	1	0	1
O60306	Q9ULR0	Spliceosome	351	AQR	ISY1	1	0	1
O60306	Q69YN4	Spliceosome	351	AQR	NA	1	0	1
O60306	Q9Y333	Spliceosome	351	AQR	LSM2	1	0	1
O60306	P62310	Spliceosome	351	AQR	LSM3	1	0	1
O60306	Q9Y4Z0	Spliceosome	351	AQR	LSM4	1	0	1
O60306	P62312	Spliceosome	351	AQR	LSM6	1	0	1
O60306	Q9UK45	Spliceosome	351	AQR	LSM7	1	0	1
O60306	P61326	Spliceosome	351	AQR	MAGOH	1	0	1
O60306	P55081	Spliceosome	351	AQR	MFAP1	1	0	1
O60306	Q9HCE1	Spliceosome	351	AQR	MOV10	1	0	1
O60306	Q09161	Spliceosome	351	AQR	NCBP1	1	0	1
O60306	P52298	Spliceosome	351	AQR	NCBP2	1	0	1
O60306	P55769	Spliceosome	351	AQR	SNU13	1	0	1
O60306	O43809	Spliceosome	351	AQR	NUDT21	1	0	1
O60306	P11940	Spliceosome	351	AQR	PABPC1	1	0	1
O60306	O43660	Spliceosome	351	AQR	PLRG1	1	0	1
O60306	Q9UNP9	Spliceosome	351	AQR	PPIE	1	0	1
O60306	O43447	Spliceosome	351	AQR	NA	1	0	1
O60306	Q9Y3C6	Spliceosome	351	AQR	PPIL1	1	0	1
O60306	Q13356	Spliceosome	351	AQR	NA	1	0	1
O60306	Q9H2H8	Spliceosome	351	AQR	PPIL3	1	0	1
O60306	O15355	Spliceosome	351	AQR	PPM1G	1	0	1
O60306	Q96BP3	Spliceosome	351	AQR	PPWD1	1	0	1
O60306	Q99633	Spliceosome	351	AQR	NA	1	0	1
O60306	Q9UMS4	Spliceosome	351	AQR	PRPF19	1	0	1
O60306	O43395	Spliceosome	351	AQR	NA	1	0	1
O60306	Q8WWY3	Spliceosome	351	AQR	NA	1	0	1
O60306	O43172	Spliceosome	351	AQR	NA	1	0	1
O60306	O75400	Spliceosome	351	AQR	PRPF40A	1	0	1
O60306	Q13523	Spliceosome	351	AQR	PRPF4B	1	0	1
O60306	O94906	Spliceosome	351	AQR	PRPF6	1	0	1
O60306	Q6P2Q9	Spliceosome	351	AQR	PRPF8	1	0	1
O60306	Q9UHX1	Spliceosome	351	AQR	PUF60	1	0	1
O60306	Q96T37	Spliceosome	351	AQR	RBM15	1	0	1
O60306	Q96I25	Spliceosome	351	AQR	RBM17	1	0	1
O60306	Q9NW64	Spliceosome	351	AQR	RBM22	1	0	1
O60306	P49756	Spliceosome	351	AQR	RBM25	1	0	1
O60306	Q14498	Spliceosome	351	AQR	RBM39	1	0	1
O60306	Q9Y5S9	Spliceosome	351	AQR	RBM8A	1	0	1
O60306	Q15287	Spliceosome	351	AQR	RNPS1	1	0	1
O60306	O43290	Spliceosome	351	AQR	SART1	1	0	1
O60306	Q15637	Spliceosome	351	AQR	SF1	1	0	1
O60306	Q15459	Spliceosome	351	AQR	SF3A1	1	0	1
O60306	Q15428	Spliceosome	351	AQR	SF3A2	1	0	1
O60306	Q12874	Spliceosome	351	AQR	SF3A3	1	0	1
O60306	O75533	Spliceosome	351	AQR	SF3B1	1	0	1
O60306	Q9Y3B4	Spliceosome	351	AQR	SF3B6	1	0	1
O60306	Q13435	Spliceosome	351	AQR	SF3B2	1	0	1
O60306	Q15393	Spliceosome	351	AQR	SF3B3	1	0	1
O60306	Q15427	Spliceosome	351	AQR	SF3B4	1	0	1
O60306	Q07955	Spliceosome	351	AQR	SRSF1	1	0	1
O60306	Q05519	Spliceosome	351	AQR	NA	1	0	1
O60306	Q01130	Spliceosome	351	AQR	SRSF2	1	0	1
O60306	P84103	Spliceosome	351	AQR	SRSF3	1	0	1
O60306	Q08170	Spliceosome	351	AQR	SRSF4	1	0	1
O60306	Q13243	Spliceosome	351	AQR	SRSF5	1	0	1
O60306	Q16629	Spliceosome	351	AQR	SRSF7	1	0	1
O60306	P42285	Spliceosome	351	AQR	MTREX	1	0	1
O60306	O95391	Spliceosome	351	AQR	SLU7	1	0	1
O60306	O75940	Spliceosome	351	AQR	SMNDC1	1	0	1
O60306	Q2TAY7	Spliceosome	351	AQR	SMU1	1	0	1
O60306	O75643	Spliceosome	351	AQR	SNRNP200	1	0	1
O60306	Q8WVK2	Spliceosome	351	AQR	NA	1	0	1
O60306	Q96DI7	Spliceosome	351	AQR	SNRNP40	1	0	1
O60306	P08621	Spliceosome	351	AQR	SNRNP70	1	0	1
O60306	P09012	Spliceosome	351	AQR	SNRPA	1	0	1
O60306	P09661	Spliceosome	351	AQR	SNRPA1	1	0	1
O60306	P14678	Spliceosome	351	AQR	SNRPB	1	0	1
O60306	P08579	Spliceosome	351	AQR	SNRPB2	1	0	1
O60306	P09234	Spliceosome	351	AQR	SNRPC	1	0	1
O60306	P62314	Spliceosome	351	AQR	SNRPD1	1	0	1
O60306	P62316	Spliceosome	351	AQR	SNRPD2	1	0	1
O60306	P62318	Spliceosome	351	AQR	SNRPD3	1	0	1
O60306	P62304	Spliceosome	351	AQR	SNRPE	1	0	1
O60306	P62306	Spliceosome	351	AQR	SNRPF	1	0	1
O60306	P62308	Spliceosome	351	AQR	SNRPG	1	0	1
O60306	Q13573	Spliceosome	351	AQR	SNW1	1	0	1
O60306	Q96T58	Spliceosome	351	AQR	NA	1	0	1
O60306	O15042	Spliceosome	351	AQR	U2SURP	1	0	1
O60306	Q8IYB3	Spliceosome	351	AQR	SRRM1	1	0	1
O60306	Q9UQ35	Spliceosome	351	AQR	SRRM2	1	0	1
O60306	Q9BXP5	Spliceosome	351	AQR	SRRT	1	0	1
O60306	Q13247	Spliceosome	351	AQR	SRSF6	1	0	1
O60306	Q13242	Spliceosome	351	AQR	SRSF9	1	0	1
O60306	O95926	Spliceosome	351	AQR	SYF2	1	0	1
O60306	O14776	Spliceosome	351	AQR	TCERG1	1	0	1
O60306	Q9UBB9	Spliceosome	351	AQR	TFIP11	1	0	1
O60306	Q96FV9	Spliceosome	351	AQR	THOC1	1	0	1
O60306	Q8NI27	Spliceosome	351	AQR	THOC2	1	0	1
O60306	Q96J01	Spliceosome	351	AQR	THOC3	1	0	1
O60306	Q86V81	Spliceosome	351	AQR	ALYREF	1	0	1
O60306	Q13769	Spliceosome	351	AQR	THOC5	1	0	1
O60306	Q86W42	Spliceosome	351	AQR	THOC6	1	0	1
O60306	Q6I9Y2	Spliceosome	351	AQR	THOC7	1	0	1
O60306	P62995	Spliceosome	351	AQR	TRA2B	1	0	1
O60306	P83876	Spliceosome	351	AQR	NA	1	0	1
O60306	Q01081	Spliceosome	351	AQR	U2AF1	1	0	1
O60306	P26368	Spliceosome	351	AQR	U2AF2	1	0	1
O60306	Q53GS9	Spliceosome	351	AQR	USP39	1	0	1
O60306	Q9Y2W2	Spliceosome	351	AQR	WBP11	1	0	1
O60306	Q15007	Spliceosome	351	AQR	WTAP	1	0	1
O60306	Q9HCS7	Spliceosome	351	AQR	XAB2	1	0	1
O60306	O43670	Spliceosome	351	AQR	NA	1	0	1
Q13838	O75934	Spliceosome	351	DDX39B	BCAS2	1	0	1
Q13838	Q9BRD0	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	P41223	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	Q9Y6A4	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	Q8WUQ7	Spliceosome	351	DDX39B	CACTIN	1	0	1
Q13838	Q9BQ61	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	O95400	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	O60508	Spliceosome	351	DDX39B	CDC40	1	0	1
Q13838	Q99459	Spliceosome	351	DDX39B	CDC5L	1	0	1
Q13838	Q14011	Spliceosome	351	DDX39B	CIRBP	1	0	1
Q13838	Q16630	Spliceosome	351	DDX39B	CPSF6	1	0	1
Q13838	Q9NYV4	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	Q9BZJ0	Spliceosome	351	DDX39B	CRNKL1	1	0	1
Q13838	O95232	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	Q8WYA6	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	Q9P013	Spliceosome	351	DDX39B	CWC15	1	0	1
Q13838	Q9HCG8	Spliceosome	351	DDX39B	CWC22	1	0	1
Q13838	Q92841	Spliceosome	351	DDX39B	DDX17	1	0	1
Q13838	Q9BUQ8	Spliceosome	351	DDX39B	DDX23	1	0	1
Q13838	O00571	Spliceosome	351	DDX39B	DDX3X	1	0	1
Q13838	Q9UJV9	Spliceosome	351	DDX39B	DDX41	1	0	1
Q13838	Q7L014	Spliceosome	351	DDX39B	DDX46	1	0	1
Q13838	P17844	Spliceosome	351	DDX39B	DDX5	1	0	1
Q13838	Q96DF8	Spliceosome	351	DDX39B	ESS2	1	0	1
Q13838	O43143	Spliceosome	351	DDX39B	DHX15	1	0	1
Q13838	O60231	Spliceosome	351	DDX39B	DHX16	1	0	1
Q13838	Q92620	Spliceosome	351	DDX39B	DHX38	1	0	1
Q13838	Q14562	Spliceosome	351	DDX39B	DHX8	1	0	1
Q13838	Q08211	Spliceosome	351	DDX39B	DHX9	1	0	1
Q13838	O75937	Spliceosome	351	DDX39B	DNAJC8	1	0	1
Q13838	Q15029	Spliceosome	351	DDX39B	EFTUD2	1	0	1
Q13838	P38919	Spliceosome	351	DDX39B	EIF4A3	1	0	1
Q13838	Q4ZG51	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	Q9Y5B6	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	O43719	Spliceosome	351	DDX39B	HTATSF1	1	0	1
Q13838	O00425	Spliceosome	351	DDX39B	IGF2BP3	1	0	1
Q13838	Q13123	Spliceosome	351	DDX39B	IK	1	0	1
Q13838	Q9ULR0	Spliceosome	351	DDX39B	ISY1	1	0	1
Q13838	Q69YN4	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	Q9Y333	Spliceosome	351	DDX39B	LSM2	1	0	1
Q13838	P62310	Spliceosome	351	DDX39B	LSM3	1	0	1
Q13838	Q9Y4Z0	Spliceosome	351	DDX39B	LSM4	1	0	1
Q13838	P62312	Spliceosome	351	DDX39B	LSM6	1	0	1
Q13838	Q9UK45	Spliceosome	351	DDX39B	LSM7	1	0	1
Q13838	P61326	Spliceosome	351	DDX39B	MAGOH	1	0	1
Q13838	P55081	Spliceosome	351	DDX39B	MFAP1	1	0	1
Q13838	Q9HCE1	Spliceosome	351	DDX39B	MOV10	1	0	1
Q13838	Q09161	Spliceosome	351	DDX39B	NCBP1	1	0	1
Q13838	P52298	Spliceosome	351	DDX39B	NCBP2	1	0	1
Q13838	P55769	Spliceosome	351	DDX39B	SNU13	1	0	1
Q13838	O43809	Spliceosome	351	DDX39B	NUDT21	1	0	1
Q13838	P11940	Spliceosome	351	DDX39B	PABPC1	1	0	1
Q13838	O43660	Spliceosome	351	DDX39B	PLRG1	1	0	1
Q13838	Q9UNP9	Spliceosome	351	DDX39B	PPIE	1	0	1
Q13838	O43447	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	Q9Y3C6	Spliceosome	351	DDX39B	PPIL1	1	0	1
Q13838	Q13356	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	Q9H2H8	Spliceosome	351	DDX39B	PPIL3	1	0	1
Q13838	O15355	Spliceosome	351	DDX39B	PPM1G	1	0	1
Q13838	Q96BP3	Spliceosome	351	DDX39B	PPWD1	1	0	1
Q13838	Q99633	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	Q9UMS4	Spliceosome	351	DDX39B	PRPF19	1	0	1
Q13838	O43395	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	Q8WWY3	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	O43172	Spliceosome	351	DDX39B	NA	1	0	1
Q13838	O75400	Spliceosome	351	DDX39B	PRPF40A	1	0	1
Q13838	Q13523	Spliceosome	351	DDX39B	PRPF4B	1	0	1
Q13838	O94906	Spliceosome	351	DDX39B	PRPF6	1	0	1
Q13838	Q6P2Q9	Spliceosome	351	DDX39B	PRPF8	1	0	1
Q13838	Q9UHX1	Spliceosome	351	DDX39B	PUF60	1	0	1
Q13838	Q96T37	Spliceosome	351	DDX39B	RBM15	1	0	1
Q13838	Q96I25	Spliceosome	351	DDX39B	RBM17	1	0	1
Q13838	Q9NW64	Spliceosome	351	DDX39B	RBM22	1	0	1
Q13838	P49756	Spliceosome	351	DDX39B	RBM25	1	0	1
Q13838	Q14498	Spliceosome	351	DDX39B	RBM39	1	0	1
Q13838	Q9Y5S9	Spliceosome	351	DDX39B	RBM8A	1	0	1
Q13838	Q15287	Spliceosome	351	DDX39B	RNPS1	1	0	1
Q13838	O43290	Spliceosome	351	DDX39B	SART1	1	0	1
